-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653951976.638148	136.0	1.616371e-09	1009.525	2.448	1008.6037052901904
1653951978.8333619	137.0	1.332942e-09	1006.475	2.448	1005.5564887268215
1653951980.9314647	138.0	3.920588e-10	1005.865	1.974	1005.268080490153
1653951983.0302625	139.0	1.713567e-09	999.76	2.436	998.8565385152386
1653951985.1363206	140.0	2.395208e-09	996.4050000000001	2.442	995.5001299518786
1653951987.2337656	141.0	2.899065e-09	993.0450000000001	2.442	992.143181284782
1653951989.3315563	142.0	2.647857e-09	989.69	2.448	988.7868067543137
1653951991.4376261	143.0	1.61534e-09	986.335	2.448	985.4348685346079
1653951993.6447883	144.0	2.909084e-10	983.28	2.448	982.3826565342497
1653951995.7611794	145.0	9.836346e-10	979.925	2.454	979.0263298795521
1653951997.8606167	146.0	3.075533e-09	976.5649999999999	2.442	975.6781473461657
1653951999.961049	147.0	5.353591e-10	973.21	2.454	972.3174880751884
1653952002.0588446	148.0	1.442457e-09	969.855	2.454	968.9655648803052
1653952004.1562839	149.0	2.338186e-09	966.495	2.448	965.612974561742
1653952006.2549067	149.0	1.061184e-10	964.665	2.454	963.780324528161
1653952008.3527098	148.0	-2.685846e-10	964.97	2.454	964.0850448186051
1653952010.4523075	147.0	5.644887e-10	965.275	2.454	964.3897651090489
1653952012.5501018	146.0	-4.811956e-10	966.1899999999999	2.46	965.2995884696142
1653952014.826716	145.0	-7.500499e-10	967.7149999999999	2.448	966.8318611870895
1653952016.925153	144.0	1.561985e-09	968.9399999999999	2.454	968.0514040089735
1653952019.021341	143.0	1.648753e-09	970.77	2.46	969.875367679905
1653952021.1474285	142.0	1.580565e-09	972.6	2.454	971.7080474943006
1653952023.2462204	141.0	-9.676044e-10	974.4300000000001	2.46	973.5319947344169
1653952025.345535	140.0	1.359436e-09	976.5649999999999	2.454	975.6694112700716
1653952027.4428504	139.0	-4.057107e-10	978.705	2.448	977.8118316891963
1653952029.7034004	138.0	-3.834191e-10	980.84	2.454	979.940490750884
1653952031.8477101	137.0	1.308675e-09	982.9749999999999	2.448	982.0779348779128
1653952033.9457948	136.0	1.548601e-10	985.4150000000001	2.454	984.511295107543
1653952036.0442345	135.0	-6.73782e-10	987.555	2.448	986.6537551599554
1653952038.1426766	134.0	-8.951271e-10	989.995	2.448	989.0915284106507
1653952040.2421138	133.0	1.297839e-09	992.435	2.454	991.5248572023505
1653952042.3495283	132.0	-7.062907e-10	994.575	2.448	993.6673486926933
