-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653838241.3741262	17.0	6.149581e-10	1105.81	2.406	1104.83516148658
1653838243.4715211	16.0	-7.975129e-10	1109.0125	2.406	1108.0348382887983
1653838245.5995069	15.0	-9.973158e-11	1112.675	2.4	1111.698994980247
1653838247.7098405	14.0	-6.809076e-10	1116.185	2.418	1115.1911769700725
1653838249.808485	13.0	1.033855e-09	1120.1525	2.406	1119.1650177038518
1653838251.9058902	12.0	-2.192626e-10	1123.51	2.4	1122.5244908443683
1653838254.0367348	11.0	8.430081e-10	1127.1725000000001	2.394	1126.1887149206973
1653838256.1351364	10.0	-7.200499e-10	1130.68	2.406	1129.6832370747654
1653838258.2315466	9.0	-1.91013e-09	1134.6475	2.412	1133.6422451698406
1653838260.3304725	8.0	6.476719e-10	1138.4624999999999	2.394	1137.4688611196636
1653838262.4283223	7.0	-2.251131e-10	1141.8200000000002	2.394	1140.823430726664
1653838264.52473	6.0	-1.091664e-09	1145.94	2.412	1144.9247404413504
1653838266.6204946	5.0	-2.103215e-10	1149.9075	2.406	1148.8937868685666
1653838268.7249398	4.0	-5.339336e-10	1153.57	2.388	1152.5682151278936
1653838270.8245738	3.0	-1.495706e-09	1157.385	2.406	1156.3646949992724
1653838272.9242513	2.0	2.338451e-11	1161.6575	2.394	1160.6436167516415
1653838275.048233	1.0	-1.611405e-09	1165.3175	2.406	1164.290202019911
1653838277.1449945	0.0	-1.897067e-09	1169.59	2.394	1168.569193343608
1653838279.2423992	-1.0	-1.90976e-09	1173.405	2.382	1172.3911034731723
1653838281.340824	-2.0	-1.255573e-09	1177.3725	2.4	1176.339744280568
1653838283.437292	-3.0	-1.319312e-09	1181.645	2.394	1180.6136718580938
1653838285.5333579	-4.0	-1.342841e-09	1185.6125000000002	2.382	1184.5880554170014
1653838287.6301224	-5.0	-1.462001e-09	1189.4275	2.382	1188.399759014438
1653838289.7267673	-6.0	-1.988453e-09	1193.8525	2.394	1192.8105172720782
1653838291.8331492	-7.0	-1.832793e-09	1198.125	2.376	1197.094951902813
1653838293.9295588	-8.0	3.972075e-10	1202.0925	2.376	1201.0590409767194
1653838296.0557797	-9.0	-7.971414e-10	1206.5175	2.376	1205.480236730226
1653838298.1537101	-10.0	-1.727309e-09	1210.4850000000001	2.382	1209.4390639955711
1653838300.2501214	-11.0	-1.79241e-09	1215.0625	2.394	1214.002005392546
1653838302.3474035	-12.0	-1.791382e-09	1219.4875	2.376	1218.4390862043456
1653838304.4458065	-13.0	-1.442059e-09	1223.6075	2.37	1222.5608496148598
1653838306.5442212	-14.0	2.488817e-10	1228.0325	2.388	1226.9660502995441
